,Tweet,Class
0,ایٹم بم بنایا ھے بھائی ایٹم بمب کوٹ لکھپت اتفاق فیکٹری بنتاایٹم بم کہوٹہ ایٹمی,2
1,چندے انقلاب عمران خان وزیر اعظم بن سکتے,0
2,ٹویٹر خیال,1
3,سرچ انجن گوگل نائب صدر فضا فٹ بلندی چھلانگ عالمی ریکارڈ قائم کرلیا چھلانگ,2
4,اسکی لہریں یار أ,2
5,گندی زبان گٹر دماغ جاہل جیالے جیالا جاہل ممکن,0
6,قاتل مقتول تمظالم مظلوم,0
7,نور بغداد گلیوں کرن مدینہ چلی,2
8,لفظوں شرارت ھے سنبہل بہی لکہنا محبت لفظ ھے اکثر بہی ھے,2
9,سمارٹ فون عادیوں ڈجٹل ڈیٹاکس کیپ متعارف,2
10,وزیر اعظم زیر صدارت پارلیمانی رہنماؤں اجلاس,2
11,سوچا شہباز شریف کام جہاں چھوڑا چودھری پرویز الہی چودھری پنجاب تباہ شہباز ترقیاتی کام پنجاب سنوار,2
12,تیز بارش گھنا پیڑ اک لڑکی ہوایسے منظر شہروں پائے,2
13,لاہور دھرنوں باعث سیاسی عدم استحکام معاملہ سنبھل میاں مجتبی,2
14,مؤرخ لکھے گاکہ مملکت خداد کڑا وقت ڈی جے پالنے کیلیے لیڈر چندہ مانگناپڑ گیاچندے انقلاب,0
16,اک کھیل مقدر بدل ہمیں پکار چھپا زوبی,2
17,ابن ڈیزل ہواکرے درد دوا,0
18,پی ٹی استعفے واپس لینے اعلان,2
19,پنجرے چھ طوطے طوطی چھیڑ رھے جبکہ دوسرے پنجرے,0
20,باجوڑ ایجنسی پولیو ٹیم حملہ لیوی اہلکار زخمی,0
21,سہیل بخاری کہنا تعزیتی ریفرنس یاسین ملک قریبی دوستوں شرکت افسوس,0
22,®انقلابدھرناڈیلماڈل ٹاؤن جاں بحق کوخون بہادینے علاوہ قادری کوعلیحدہ ستر کروڑدینے کابھی یقین دلایاگیارپورٹ,0
23,شرابی وقت شراب دور تھاایک مرتبہ دوست احباب جمع شراب تیار غلام,0
24,خیبر پختونخوا کام ھوا ھوتا عمران دھرنوں جواز بن,2
25,انشا ءاللہ بابے دا ڈیرہ ریخی قافلہ گجرات جلسہ شر کت ے ملک چاند محبوب,2
26,ا عمران خان دنوں شیدے دور بھگا چاہیے اسکے بیٹے پاکستان چھڑے چھانٹ اخلاقی گراوٹ شکار,0
27,فتح حق اورسچ ہوئیالطاف حسین کورابطہ کمیٹی مبارکباد,2
28,انقلاب ایجنڈا بدلا بدلے کیئرٹیکر حکومت قومی حکومت بن سکتی مک مکا حکومت چاھتے طاہر القادری,2
29,تحریک انصاف ضمنی انتخابات حصہ گیترجمان شیریں مزاری جی ہان قبضہ مافیا لوٹوں حمایت ضرور,0
30,مسلمانوں نیا اسلامی سال مبارک,2
31,برائی پہچانتا قریب ھے واقع ھو سیدنا عمر فاروق,0
32,ھو سکے تنہائیوں پڑھ لینا دل کتاب ھوں,2
33,اصلی طالبان لشکر جھنگوی اصلی خالص,2
34,وینا ملک بیٹا سوشل میڈیا مقبولیت شلپا شیٹھی بیٹے کراچی وینا ملک بیٹے ابرام خان,2
35,RT حکومتوں الگ فیصلہ حتمی رہنما ایم کیوایم فاروق ستار,0
36,اللہ نبی ﷺ شہادت خوشخبری دیدی,2
37,اسلام آباد چیرمین تحریک انصاف عمران خان کہنا محرم الحرام باوجود اسلام آباد,2
38,ڈیزل خان تمبو اکیلا پیشن گوئی ناکام ڈیزل خان,2
39,اک نئی طرز کردار گااس کہانی مار,0
40,قسم گندے الفاظ فضلو دھرنے خواتین بارے استعمال سیاسی مزھبی جماعتوں انکا بائکاٹ چاہئے,0
41,عالمی استعمار امریکا اسرائیل اورانکے نمک خوار سعودی عرب سینےمیں خنجر مانند ماہ محرم صفراور ربیع الاول,0
42,حق پرست رکن سندھ اسمبلی سمیتا افضال علالت جناب اظہار تشویش,0
43,ایم کیوایم ڈسٹرکٹ ملتان صدر ذیشان دلاور قریشی والدہ محترمہ انتقال رابطہ کمیٹی کااظہار تعزیت via,0
44,اتنا کام پڑا کھیل اردو بورڈ,2
45,محسن طلوع ماہ محرم ساتھ ہیہر دل مثال شہر خموشاں اداس,0
46,جنوبی پنجاب سارا پیسہ لاہور پہ لگتاہے پٹواری نئیں کہتا واقعی حق گجرات یونیورسٹی دکھ,2
47,ایم کیوایم قائد الطاف حسین تصنیف فلسفہ محبت انگریزی ترجمہ تقریب اجراء 24اکتوبر جمعہ شام میریٹ ہوٹل منعقد ہوگی,2
48,کھیل نماز الگ الگ ھیں اپ زرا پڑھا مینڈک اچھے نھیں ھوتے,2
49,دبئی پہلا ٹیسٹ آسٹریلیا خلاف پاکستان دوسری وکٹ گرگئی,0
50,سردار بنے علم حاصل کہیں سرداری غرور طلب علم روک جاہل بن زندگی گذارو سیدنا عمر فاروق,2
51,دس نارمل فیصل عابدییے رحلت فرماویں جعفر پیدا,0
52,ایم کیوایم آزاد کشمیر حکومت علیحدگی اعلان اسکے ساتھ حکومت اندر باہر عالمی ریکارڈ بنا سیاسی لطیفے,0
53,مشرق وسطی امریکا پالیسیوں نتائج بھگت,0
