,Title,Views,Time_posted,Link,Video_time
0,Perceptron Learning Rule on a complete AND Gate Dataset,15 views,2 months ago,https://www.youtube.com/watch?v=k6O6e4vMleg,5:05
1,Perceptron Learning Rule Part 2,6 views,2 months ago,https://www.youtube.com/watch?v=mO8nTYNeS9k,5:04
2,Perceptron Learning Rule Part 1,15 views,2 months ago,https://www.youtube.com/watch?v=Q_AkoUyR980,5:06
3,Guessing Weights and Bias on Simple Perceptron Model OR Gate,8 views,2 months ago,https://www.youtube.com/watch?v=ZWxpQ4mhZ_w,5:00
4,Guessing Weights and Bias on Simple Perceptron Model AND Gate,11 views,2 months ago,https://www.youtube.com/watch?v=Qa0oelon03c,5:01
5,Introduction to a Simple Perceptron,24 views,2 months ago,https://www.youtube.com/watch?v=0gPkwpwfJEo,4:43
6,CYK Algorithm,413 views,1 year ago,https://www.youtube.com/watch?v=haxbFeTSvGU,10:00
7,Function Computation on TM Example x plus y,373 views,1 year ago,https://www.youtube.com/watch?v=2Jqu4r6-1n4,7:41
8,TM Example with Multi Tape wcw,479 views,1 year ago,https://www.youtube.com/watch?v=pWCWEq5mLvg,9:16
9,Example of Pumping Lemma for CFL,346 views,1 year ago,https://www.youtube.com/watch?v=UeXuqK-MMwE,8:41
10,TM Example with single tape an bn cn,322 views,1 year ago,https://www.youtube.com/watch?v=oYnu8i2Mw3Y,9:56
11,Introduction to Turing Machine,303 views,1 year ago,https://www.youtube.com/watch?v=AlVXAClMKmE,9:43
12,Pumping Lemma for Context-Free Language,409 views,1 year ago,https://www.youtube.com/watch?v=XiTNmUNxZzM,9:11
13,Pumping Lemma For Regular Language,570 views,1 year ago,https://www.youtube.com/watch?v=zujU6RLZ5qM,9:09
14,How to Design a PDA | Complex Example | Part 2,470 views,1 year ago,https://www.youtube.com/watch?v=-L2UNFs7bPg,9:41
15,How to Design a PDA | Complex Example | Part 1,556 views,1 year ago,https://www.youtube.com/watch?v=rhDBx-EcOdo,9:39
16,How to Write a CFG | Complex Example,597 views,1 year ago,https://www.youtube.com/watch?v=eB7sTrWmZuU,9:46
17,Conversion of CFG to CNF,675 views,1 year ago,https://www.youtube.com/watch?v=gNnjngHMfMM,10:00
18,Point Processing using COLAB | Visualization using Matplotlib | Code Practicing in Python,95 views,1 year ago,https://www.youtube.com/watch?v=Uwb44Yy6kTM,5:54
19,Image Reading in Colab | Colab Introduction | Libraries Use in Colab | Drive utilization in Colab,773 views,1 year ago,https://www.youtube.com/watch?v=qCSK4ddlbc4,6:42
20,Basics for Semantic Analysis,507 views,1 year ago,https://www.youtube.com/watch?v=_X6CBVJNd9k,1:08:26
21,"Code Processing in Compiler with respect to lexical, syntax & semantic analysis phases",508 views,2 years ago,https://www.youtube.com/watch?v=kOt5vZ8Zse8,29:27
22,PDA an b2n using states,372 views,2 years ago,https://www.youtube.com/watch?v=7F14kxd0mZo,2:23
23,PDA an b2n using multi push,393 views,2 years ago,https://www.youtube.com/watch?v=J1IDkIy4uIE,3:04
24,PDA an bm n is greater than m,470 views,2 years ago,https://www.youtube.com/watch?v=TDa_W5fHxXU,3:53
25,PDA Input Processing on an bn,427 views,2 years ago,https://www.youtube.com/watch?v=aLKQ9Dl0aHI,3:02
26,PDA an bn,522 views,2 years ago,https://www.youtube.com/watch?v=WPnGFJEBBVo,3:22
27,CFG complex example,844 views,2 years ago,https://www.youtube.com/watch?v=OGGz62YHY04,4:35
28,CFG an bm and m is greater than or equal to n,632 views,2 years ago,https://www.youtube.com/watch?v=TL8MgbAr2DM,3:35
29,CFG an bm and n is greater than m,656 views,2 years ago,https://www.youtube.com/watch?v=22TVv5if17w,3:04
30,CFG an bn,830 views,2 years ago,https://www.youtube.com/watch?v=t-m2qqBePo8,3:20
31,Push Down Automata (PDA) Introductory,632 views,2 years ago,https://www.youtube.com/watch?v=vbUPG0bAIuI,4:32
32,Null Elimination Method (NFA-null to NFA conversion),829 views,2 years ago,https://www.youtube.com/watch?v=D_7aGZwMYBQ,4:28
33,Deterministic Finite Automata to Regular Expression (DFA to RE),695 views,2 years ago,https://www.youtube.com/watch?v=V2L92nTKLoQ,4:55
34,Regular Expresson to NFA null using Kleene's Theorem,1.5K views,2 years ago,https://www.youtube.com/watch?v=UOuPDJbMFAQ,3:49
35,Regular Expression for a language sum of digits in words divisible by 2,640 views,2 years ago,https://www.youtube.com/watch?v=8XlIkzrmEOw,5:01
36,Regular Expression for a language words as number divisible by 2,1K views,2 years ago,https://www.youtube.com/watch?v=z9x-qPkf5_U,4:35
37,Subset Construction Method,809 views,2 years ago,https://www.youtube.com/watch?v=pj__rcvlwr0,11:28
38,Regular Expression (RE) Examples,690 views,2 years ago,https://www.youtube.com/watch?v=3ySBahVAYAQ,5:47
39,Regular Expression,645 views,2 years ago,https://www.youtube.com/watch?v=whexirfOpX8,10:31
40,NFA Examples,620 views,2 years ago,https://www.youtube.com/watch?v=IUTk2W3UcuA,10:58
41,Non Deterministic Finite Automata Explanation,559 views,2 years ago,https://www.youtube.com/watch?v=mK64ttjE3lU,6:21
42,Taking complement of a DFA,430 views,2 years ago,https://www.youtube.com/watch?v=ipyqF3zCU7U,5:21
43,Closure Property of DFA,886 views,2 years ago,https://www.youtube.com/watch?v=A3TFt6jwNqo,13:27
44,Types of Finite Automata,402 views,2 years ago,https://www.youtube.com/watch?v=DvtZULrWTlI,5:47
45,"DFA for language starting with ""aba""",491 views,2 years ago,https://www.youtube.com/watch?v=I9Y4xXIu5k0,5:59
46,String Processing in Finite Automata,552 views,2 years ago,https://www.youtube.com/watch?v=nROz-thZipg,7:13
47,How to construct a Deterministic Finite Automata (DFA),769 views,2 years ago,https://www.youtube.com/watch?v=JBKnkv_zd_4,8:05
48,Languages vs Set Operations,534 views,2 years ago,https://www.youtube.com/watch?v=92fPhxdu01s,6:10
49,Introduction to Finite Automata,575 views,2 years ago,https://www.youtube.com/watch?v=OAkHEmevcNc,8:01
50,Introduction to Language,612 views,2 years ago,https://www.youtube.com/watch?v=AuFGtjTJRjM,7:47
51,Introduction to Theory of Automata,2.1K views,2 years ago,https://www.youtube.com/watch?v=GN73g0-rvhk,7:43
52,Gray-scale Morphology Discussion (Python),216 views,2 years ago,https://www.youtube.com/watch?v=k_v_kGaZVrA,20:18
53,Morphology Examples (Octave),170 views,2 years ago,https://www.youtube.com/watch?v=S9-_z7omSIk,30:28
54,Exploring Different Image Modalities in Image Processing,1.5K views,2 years ago,https://www.youtube.com/watch?v=2JiopDa2OTs,34:26
55,Mastering the Art of Digital Image Processing: An Introduction,262 views,2 years ago,https://www.youtube.com/watch?v=wGQcdNOWGC4,17:02
56,From Pixel to Picture: The Formation of Digital Images,257 views,2 years ago,https://www.youtube.com/watch?v=_WcmGQIQR6E,1:13:53
57,Code Compilation,830 views,3 years ago,https://www.youtube.com/watch?v=QczWY_ek4O0,2:02
58,Introduction to Compiler,4K views,3 years ago,https://www.youtube.com/watch?v=735JyR5QEQw,3:14
59,Phases of Compiler,1.1K views,3 years ago,https://www.youtube.com/watch?v=37RDVd-dvsA,6:19
60,Image Processing in Frequency Domain,409 views,3 years ago,https://www.youtube.com/watch?v=LBOeiKXbX70,1:20:23
61,Three Address Code on Arrays,984 views,3 years ago,https://www.youtube.com/watch?v=kAxv9aJaxMA,9:46
